"","lastname","firstname","town","state","state_and_twon"
"1","Young","Don","Fort Yukon","Alaska","Fort Yukon ,  Alaska"
"2","Byrne","Bradley","Fairhope","Alabama","Fairhope ,  Alabama"
"3","Roby","Martha","Montgomery","Alabama","Montgomery ,  Alabama"
"4","Rogers","Mike","Anniston","Alabama","Anniston ,  Alabama"
"5","Aderholt","Robert","Haleyville","Alabama","Haleyville ,  Alabama"
"6","Brooks","Mo","Huntsville","Alabama","Huntsville ,  Alabama"
"7","Palmer","Gary","Hoover","Alabama","Hoover ,  Alabama"
"8","Sewell","Terri","Birmingham","Alabama","Birmingham ,  Alabama"
"9","Crawford","Eric","Jonesboro","Arkansas","Jonesboro ,  Arkansas"
"10","Hill","J.","Little Rock","Arkansas","Little Rock ,  Arkansas"
"11","Womack","Steve","Rogers","Arkansas","Rogers ,  Arkansas"
"12","Westerman","Bruce","Hot Springs","Arkansas","Hot Springs ,  Arkansas"
"13","Radewagen","Aumua Amata","Pago Pago","American Samoa","Pago Pago ,  American Samoa"
"14","Kirkpatrick","Ann","Flagstaff","Arizona","Flagstaff ,  Arizona"
"15","McSally","Martha","Tucson","Arizona","Tucson ,  Arizona"
"16","Grijalva","Raúl","Tucson","Arizona","Tucson ,  Arizona"
"17","Gosar","Paul","Prescott","Arizona","Prescott ,  Arizona"
"18","Salmon","Matt","Mesa","Arizona","Mesa ,  Arizona"
"19","Schweikert","David","Fountain Hills","Arizona","Fountain Hills ,  Arizona"
"20","Gallego","Ruben","Phoenix","Arizona","Phoenix ,  Arizona"
"21","Franks","Trent","Peoria","Arizona","Peoria ,  Arizona"
"22","Sinema","Kyrsten","Phoenix","Arizona","Phoenix ,  Arizona"
"23","LaMalfa","Doug","Oroville","California","Oroville ,  California"
"24","Huffman","Jared","San Rafael","California","San Rafael ,  California"
"25","Garamendi","John","Walnut Grove","California","Walnut Grove ,  California"
"26","McClintock","Tom","Roseville","California","Roseville ,  California"
"27","Thompson","Mike","St. Helena","California","St. Helena ,  California"
"28","Matsui","Doris","Sacramento","California","Sacramento ,  California"
"29","Bera","Ami","Elk Grove","California","Elk Grove ,  California"
"30","Cook","Paul","Yucca Valley","California","Yucca Valley ,  California"
"31","McNerney","Jerry","Stockton","California","Stockton ,  California"
"32","Denham","Jeff","Turlock","California","Turlock ,  California"
"33","DeSaulnier","Mark","Concord","California","Concord ,  California"
"34","Pelosi","Nancy","San Francisco","California","San Francisco ,  California"
"35","Lee","Barbara","Oakland","California","Oakland ,  California"
"36","Speier","Jackie","Hillsborough","California","Hillsborough ,  California"
"37","Swalwell","Eric","Dublin","California","Dublin ,  California"
"38","Costa","Jim","Fresno","California","Fresno ,  California"
"39","Honda","Michael","San José","California","San José ,  California"
"40","Eshoo","Anna","Atherton","California","Atherton ,  California"
"41","Lofgren","Zoe","San Jose","California","San Jose ,  California"
"42","Farr","Sam","Carmel","California","Carmel ,  California"
"43","Valadao","David","Hanford","California","Hanford ,  California"
"44","Nunes","Devin","Tulare","California","Tulare ,  California"
"45","McCarthy","Kevin","Bakersfield","California","Bakersfield ,  California"
"46","Capps","Lois","Santa Barbara","California","Santa Barbara ,  California"
"47","Knight","Stephen","Antelope Valley","California","Antelope Valley ,  California"
"48","Brownley","Julia","Westlake Village","California","Westlake Village ,  California"
"49","Chu","Judy","Monterey Park","California","Monterey Park ,  California"
"50","Schiff","Adam","Burbank","California","Burbank ,  California"
"51","Cárdenas","Tony","Pacoima","California","Pacoima ,  California"
"52","Sherman","Brad","Sherman Oaks","California","Sherman Oaks ,  California"
"53","Aguilar","Pete","Redlands","California","Redlands ,  California"
"54","Napolitano","Grace","Norwalk","California","Norwalk ,  California"
"55","Lieu","Ted","Torrance","California","Torrance ,  California"
"56","Becerra","Xavier","Los Angeles","California","Los Angeles ,  California"
"57","Torres","Norma","Pomona","California","Pomona ,  California"
"58","Ruiz","Raul","Palm Desert","California","Palm Desert ,  California"
"59","Bass","Karen","Los Angeles","California","Los Angeles ,  California"
"60","Sánchez","Linda","Whittier","California","Whittier ,  California"
"61","Royce","Edward","Fullerton","California","Fullerton ,  California"
"62","Roybal-Allard","Lucille","Los Angeles","California","Los Angeles ,  California"
"63","Takano","Mark","Riverside","California","Riverside ,  California"
"64","Calvert","Ken","Corona","California","Corona ,  California"
"65","Waters","Maxine","Los Angeles","California","Los Angeles ,  California"
"66","Hahn","Janice","San Pedro","California","San Pedro ,  California"
"67","Walters","Mimi","Irvine","California","Irvine ,  California"
"68","Sanchez","Loretta","Santa Ana","California","Santa Ana ,  California"
"69","Lowenthal","Alan","Long Beach","California","Long Beach ,  California"
"70","Rohrabacher","Dana","Costa Mesa","California","Costa Mesa ,  California"
"71","Issa","Darrell","Vista","California","Vista ,  California"
"72","Hunter","Duncan","Alpine","California","Alpine ,  California"
"73","Vargas","Juan","Chula Vista","California","Chula Vista ,  California"
"74","Peters","Scott","San Diego","California","San Diego ,  California"
"75","Davis","Susan","San Diego","California","San Diego ,  California"
"76","DeGette","Diana","Denver","Colorado","Denver ,  Colorado"
"77","Polis","Jared","Boulder","Colorado","Boulder ,  Colorado"
"78","Tipton","Scott","Cortez","Colorado","Cortez ,  Colorado"
"79","Buck","Ken","Windsor","Colorado","Windsor ,  Colorado"
"80","Lamborn","Doug","Colorado Springs","Colorado","Colorado Springs ,  Colorado"
"81","Coffman","Mike","Aurora","Colorado","Aurora ,  Colorado"
"82","Perlmutter","Ed","Golden","Colorado","Golden ,  Colorado"
"83","Larson","John","East Hartford","Connecticut","East Hartford ,  Connecticut"
"84","Courtney","Joe","Vernon","Connecticut","Vernon ,  Connecticut"
"85","DeLauro","Rosa","New Haven","Connecticut","New Haven ,  Connecticut"
"86","Himes","James","Cos Cob","Connecticut","Cos Cob ,  Connecticut"
"87","Esty","Elizabeth","Cheshire","Connecticut","Cheshire ,  Connecticut"
"88","Norton","Eleanor","District of Columbia","District of Columbia","District of Columbia ,  District of Columbia"
