County,State,Obama,Romney
Autauga ,alabama,26.6,72.6
Baldwin ,alabama,21.6,77.4
Barbour ,alabama,51.3,48.3
Bibb ,alabama,26.2,73.1
Blount ,alabama,12.3,86.5
Bullock ,alabama,76.3,23.5
Butler ,alabama,46.1,53.6
Calhoun ,alabama,33.5,65.5
Chambers ,alabama,47.1,52.2
Cherokee ,alabama,21.8,76.8
Chilton ,alabama,19.5,79.8
Choctaw ,alabama,47.5,52.1
Clarke ,alabama,45.7,54
Clay ,alabama,26.7,72.3
Cleburne ,alabama,15.4,83.6
Coffee ,alabama,24.8,74.2
Colbert ,alabama,39.2,59.6
Conecuh ,alabama,50.6,49
Coosa ,alabama,41.7,57.8
Covington ,alabama,20.5,78.8
Crenshaw ,alabama,31.9,67.5
Cullman ,alabama,14.6,84.2
Dale ,alabama,28.5,70.6
Dallas ,alabama,69.7,30
DeKalb ,alabama,22,76.8
Elmore ,alabama,25.2,74
Escambia ,alabama,36.9,62.5
Etowah ,alabama,30.1,68.5
Fayette ,alabama,22.8,76.3
Franklin ,alabama,29.2,69.7
Geneva ,alabama,18,81
Greene ,alabama,84.7,15
Hale ,alabama,62.6,37.1
Henry ,alabama,35,64.4
Houston ,alabama,29.5,69.8
Jackson ,alabama,28.3,70.2
Jefferson ,alabama,52.6,46.6
Lamar ,alabama,23,76.2
Lauderdale ,alabama,33.9,64.8
Lawrence ,alabama,35.9,62.9
Lee ,alabama,39.3,59.2
Limestone ,alabama,27.7,71.4
Lowndes ,alabama,76.4,23.3
Macon ,alabama,87.1,12.7
Madison ,alabama,40,58.6
Marengo ,alabama,53.5,46.2
Marion ,alabama,18.6,80.1
Marshall ,alabama,19.3,79.4
Mobile ,alabama,45,54.3
Monroe ,alabama,45.9,53.7
Montgomery ,alabama,61.9,37.6
Morgan ,alabama,27.2,71.8
Perry ,alabama,74.8,24.8
Pickens ,alabama,46.3,53.3
Pike ,alabama,42.7,56.5
Randolph ,alabama,29.6,69.5
Russell ,alabama,55.6,43.9
Shelby ,alabama,21.6,77.3
St. Clair ,alabama,16.5,82.6
Sumter ,alabama,77.2,22.6
Talladega ,alabama,41.7,57.7
Tallapoosa ,alabama,33.5,65.9
Tuscaloosa ,alabama,40.8,58.2
Walker ,alabama,23,75.9
Washington ,alabama,33.9,65.6
Wilcox ,alabama,74.3,25.6
Winston ,alabama,13.2,85.6
Alaska,alaska,41.3,55.3
Apache ,arizona,66.4,31.9
Cochise ,arizona,37.4,60.7
Coconino ,arizona,56.3,41.4
Gila ,arizona,35.6,62.7
Graham ,arizona,30.4,68.1
